                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2761,                 3.5872,                 1.7953,                0.33869,                0.11059,                0.08338,                0.04061,                 2.1375,                 5.5887,                 1.7797,              0.0001625,              0.0001625,              0.0001625
                      2,                  1.557,                 2.3301,                 1.2967,                 0.3617,                0.32151,                0.13135,                0.06745,                 1.5848,                 12.917,                 1.5428,             0.00033416,             0.00033416,             0.00033416
                      3,                 1.5363,                 2.0387,                 1.3239,                0.27678,                0.50808,                0.38987,                0.17556,                 1.8288,                 2.9387,                 1.7724,             0.00050235,             0.00050235,             0.00050235
                      4,                 1.6192,                 1.8455,                 1.3034,                0.23724,                0.63135,                0.41454,                0.21032,                 1.6381,                 3.4501,                 1.5933,             0.00066708,             0.00066708,             0.00066708
                      5,                 1.5881,                 1.8396,                 1.3305,                0.33577,                0.58218,                0.47071,                0.18925,                 2.0428,                 2.5527,                 2.0942,             0.00082834,             0.00082834,             0.00082834
                      6,                 1.5768,                 1.7818,                 1.3437,                0.65768,                0.46434,                0.48177,                0.20297,                 1.8552,                 5.4152,                  2.114,             0.00098614,             0.00098614,             0.00098614
                      7,                 1.4833,                 1.6164,                 1.2789,                0.67665,                0.47933,                0.54583,                0.26985,                 1.6769,                 5.0222,                 1.8159,              0.0011405,              0.0011405,              0.0011405
                      8,                 1.6022,                 1.6606,                 1.3207,                0.38049,                0.49929,                 0.4711,                0.23977,                 1.6666,                  4.951,                 1.8301,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.5793,                 1.6372,                 1.3293,                0.51364,                0.49856,                0.46824,                0.24777,                 1.6651,                 3.2974,                 1.8238,              0.0011634,              0.0011634,              0.0011634
                     10,                  1.483,                 1.4758,                 1.2873,                0.49896,                0.56958,                0.55267,                 0.2675,                 1.6551,                 2.8024,                 1.6755,               0.001151,               0.001151,               0.001151
                     11,                 1.4986,                 1.4559,                 1.2862,                 0.7362,                 0.5367,                 0.6658,                0.33335,                 1.6149,                 1.9316,                 1.6201,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.4687,                 1.4608,                   1.28,                0.40812,                0.62388,                0.55459,                 0.2801,                 1.7064,                 1.9528,                 1.7431,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.4422,                  1.385,                 1.2967,                0.80142,                0.34002,                0.48607,                0.25422,                 1.6131,                 3.1121,                 1.6602,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4382,                 1.3736,                 1.2733,                0.54311,                0.57406,                0.56439,                0.28411,                 1.5809,                  2.167,                 1.6214,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.3817,                 1.3286,                 1.2442,                0.77355,                0.63619,                0.76074,                0.41905,                  1.454,                   1.67,                 1.5062,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.4154,                  1.282,                 1.2304,                0.69983,                0.62335,                0.76323,                0.41357,                 1.4736,                 1.5647,                  1.484,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.3734,                 1.2176,                  1.251,                0.76324,                0.56702,                0.71559,                0.39335,                  1.467,                 1.4416,                 1.4931,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.4168,                 1.2739,                  1.277,                0.67886,                0.66116,                0.75387,                0.39323,                   1.59,                 1.4675,                 1.4699,               0.001052,               0.001052,               0.001052
                     19,                 1.3972,                  1.179,                 1.2597,                0.72799,                 0.7741,                0.80678,                0.46633,                 1.4277,                 1.3221,                 1.4687,              0.0010396,              0.0010396,              0.0010396
                     20,                  1.389,                 1.2005,                 1.2586,                  0.809,                0.71151,                0.81257,                0.46167,                 1.4786,                 1.1413,                  1.511,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.3915,                 1.1913,                 1.2282,                0.76972,                0.79611,                0.82621,                0.46607,                 1.4104,                 1.1558,                 1.4346,              0.0010149,              0.0010149,              0.0010149
                     22,                  1.366,                  1.163,                 1.2306,                0.70906,                0.68406,                0.74199,                0.40669,                 1.5027,                 1.3641,                 1.4115,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.3283,                 1.1205,                 1.2348,                0.79774,                0.77925,                0.82273,                0.48048,                 1.4301,                 1.1361,                 1.4548,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3664,                 1.1352,                 1.2338,                0.68543,                0.64737,                0.70179,                0.35895,                 1.5759,                 1.7712,                 1.5131,             0.00097775,             0.00097775,             0.00097775
                     25,                  1.385,                 1.1921,                 1.2534,                0.75639,                 0.6237,                0.75281,                0.40987,                 1.4715,                 1.3407,                 1.4655,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.2983,                 1.1445,                 1.2263,                0.73571,                0.65737,                 0.7367,                0.42746,                 1.4508,                 1.3928,                 1.4745,               0.000953,               0.000953,               0.000953
                     27,                 1.3279,                 1.1605,                 1.2303,                0.61471,                 0.7079,                0.71012,                0.39152,                 1.5035,                 1.3638,                 1.4719,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.2827,                 1.1087,                 1.1795,                0.75759,                0.78962,                0.83506,                0.47969,                 1.4414,                 1.1226,                 1.4464,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.2572,                 1.0239,                 1.1891,                0.76697,                0.77319,                0.82963,                0.47032,                 1.4448,                 1.1364,                 1.4739,             0.00091588,             0.00091588,             0.00091588
                     30,                  1.293,                 1.0871,                 1.1938,                0.82032,                0.73985,                0.80522,                0.47956,                 1.4351,                 1.0986,                 1.4247,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.2883,                 1.0626,                 1.1933,                0.79156,                  0.748,                0.82466,                 0.5024,                 1.4094,                0.99456,                 1.4117,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.3798,                  1.096,                 1.2023,                 0.6975,                0.77752,                0.81145,                0.45861,                 1.4433,                  1.159,                 1.4292,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.3064,                 1.0686,                 1.2014,                0.81389,                0.79267,                0.84547,                0.47352,                  1.394,                 1.0677,                 1.3969,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.2447,                 1.0312,                 1.1729,                 0.7119,                0.71916,                0.80471,                0.46134,                 1.4056,                 1.1336,                 1.4575,               0.000854,               0.000854,               0.000854
                     35,                 1.2282,                0.97629,                 1.1613,                0.74182,                0.79422,                0.83511,                 0.4968,                 1.3843,                  1.053,                 1.4476,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1963,                0.96934,                 1.1797,                0.73483,                0.79869,                0.83264,                0.49849,                 1.3476,                 1.0989,                 1.4103,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.2213,                0.94821,                 1.1586,                0.89132,                0.79677,                0.84955,                 0.5163,                 1.4148,                 1.0222,                 1.4621,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.2244,                0.91713,                 1.1778,                0.78845,                0.80165,                0.83673,                0.50644,                  1.419,                 1.1071,                 1.4304,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.2163,                0.96769,                 1.1586,                0.85277,                0.74001,                0.83997,                0.49043,                 1.3691,                 1.0991,                 1.4094,             0.00079213,             0.00079213,             0.00079213
                     40,                  1.246,                0.96634,                 1.1388,                0.79404,                0.80546,                0.82222,                0.47894,                 1.4454,                 1.0441,                 1.4509,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.1675,                0.92014,                 1.1462,                0.73378,                0.80791,                0.81869,                0.48844,                 1.3905,                 1.0287,                   1.47,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.2188,                0.96557,                 1.1493,                0.80137,                0.71575,                0.78877,                0.46231,                  1.466,                 1.1372,                 1.4744,               0.000755,               0.000755,               0.000755
                     43,                 1.2018,                0.91646,                 1.1477,                 0.8732,                0.86894,                 0.8768,                 0.5344,                 1.3322,                0.93991,                 1.3888,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.1797,                0.90459,                 1.1469,                0.82273,                0.84617,                 0.8503,                0.45984,                 1.4771,                0.98124,                 1.4374,             0.00073025,             0.00073025,             0.00073025
                     45,                  1.159,                0.91099,                 1.1358,                0.84544,                0.83714,                0.85103,                0.48951,                  1.421,                 1.0213,                 1.3939,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.1746,                0.89079,                 1.1393,                0.77468,                0.81504,                0.84821,                0.50159,                 1.4293,                 1.0165,                  1.427,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.1186,                0.85488,                 1.1081,                0.78545,                0.84082,                0.87166,                0.52111,                  1.365,                0.98644,                 1.4211,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.1364,                0.85673,                 1.1211,                0.84809,                0.85261,                0.87263,                0.51937,                 1.3746,                0.90302,                 1.4034,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.1072,                0.84955,                 1.1092,                0.86116,                0.82161,                0.86995,                0.52953,                 1.3611,                0.92107,                 1.3811,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.1131,                0.83637,                 1.1394,                0.81148,                0.83196,                0.83584,                 0.5226,                 1.3611,                0.94879,                 1.3884,               0.000656,               0.000656,               0.000656
                     51,                 1.0956,                0.81733,                 1.1226,                0.86403,                0.82115,                0.83927,                0.54516,                  1.304,                0.85268,                  1.368,             0.00064362,             0.00064362,             0.00064362
                     52,                  1.103,                0.85108,                 1.1126,                0.82255,                0.76489,                0.84103,                0.52978,                 1.3039,                 1.0648,                 1.3785,             0.00063125,             0.00063125,             0.00063125
                     53,                  1.086,                0.81976,                 1.1205,                0.77881,                0.83838,                 0.8343,                0.54206,                 1.2863,                0.92448,                 1.3987,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.1095,                0.81044,                 1.1011,                0.79731,                0.83407,                0.85361,                0.52234,                 1.3567,                0.91764,                 1.4302,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.1009,                0.81303,                 1.1119,                0.83834,                0.83795,                0.83782,                0.50257,                 1.3761,                0.91773,                 1.4314,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.1595,                0.86381,                  1.111,                0.85705,                0.81911,                0.84572,                0.51546,                 1.3709,                0.91468,                 1.4112,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.1268,                0.86396,                 1.1118,                0.86904,                0.84896,                0.86612,                0.47948,                 1.4757,                0.87251,                 1.4411,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.1065,                0.82415,                 1.1102,                0.87655,                0.78813,                0.88085,                0.53326,                 1.3284,                0.93466,                 1.3691,               0.000557,               0.000557,               0.000557
                     59,                 1.1014,                0.79619,                 1.0984,                0.88488,                0.81703,                0.88132,                0.53248,                 1.3574,                0.89407,                  1.363,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0548,                0.79349,                 1.0924,                0.86198,                0.78385,                0.85764,                0.51361,                 1.4168,                0.99191,                 1.3856,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0633,                0.76004,                 1.0799,                0.83286,                0.83421,                0.86939,                0.53348,                 1.3365,                0.88898,                 1.3754,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0771,                 0.7841,                 1.0735,                0.87742,                0.82341,                0.85839,                0.52313,                 1.3509,                 0.8669,                 1.3748,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.0271,                0.75675,                 1.0891,                0.81925,                0.85052,                0.88111,                 0.5462,                 1.3102,                0.86218,                 1.3691,             0.00049513,             0.00049513,             0.00049513
                     64,                0.99404,                0.76916,                 1.0559,                0.87435,                0.81543,                0.87109,                0.54627,                 1.2948,                0.89305,                 1.3563,             0.00048275,             0.00048275,             0.00048275
