                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1413,                 1.1095,                 1.0262,                0.83791,                0.76842,                0.79179,                 0.4811,                 1.6543,                 1.4384,                 1.2402,               0.000458,               0.000458,               0.000458
                     35,                 1.2149,                 1.0955,                 1.0172,                 0.8627,                0.75194,                0.81206,                0.47345,                 1.6184,                 1.4215,                 1.2478,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.2119,                 1.1037,                 1.0254,                0.73024,                0.78845,                0.78131,                0.45804,                 1.6071,                 1.3619,                 1.2354,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1731,                  1.089,                 1.0093,                0.68204,                 0.7714,                0.78349,                0.45806,                 1.6054,                 1.3769,                 1.2203,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1555,                 1.0649,                0.98023,                0.88256,                0.72224,                0.80653,                0.48452,                 1.5919,                 1.3365,                 1.2083,               0.000359,               0.000359,               0.000359
                     39,                 1.1749,                 1.0936,                 1.0068,                0.93884,                0.66656,                0.79958,                0.47556,                 1.6153,                 1.3682,                 1.2146,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1547,                 1.0629,                 1.0087,                0.89086,                0.71139,                0.81726,                0.49162,                 1.6014,                  1.368,                 1.1946,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.1597,                 1.2603,                 1.0384,                0.93771,                0.74794,                0.83214,                0.50326,                 1.5945,                 1.3814,                 1.1997,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.2325,                 1.2812,                 1.0383,                 0.8196,                0.79346,                0.82781,                0.50886,                 1.6114,                 1.3878,                 1.2289,                0.00026,                0.00026,                0.00026
                     43,                  1.159,                 1.2316,                 1.0563,                0.79646,                0.80043,                0.82781,                0.50661,                 1.5958,                 1.3329,                 1.2105,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.1994,                 1.2435,                  1.065,                0.86475,                0.76905,                0.83128,                0.50197,                 1.5864,                 1.2684,                 1.1855,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.1345,                 1.1263,                0.99737,                0.85985,                0.76109,                 0.8256,                0.49897,                 1.5978,                 1.2623,                 1.1793,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0763,                 1.1451,                  1.007,                0.76376,                0.78449,                 0.8118,                0.49365,                 1.6009,                 1.2635,                 1.1758,               0.000161,               0.000161,               0.000161
                     47,                  1.098,                 1.1487,                 1.0086,                0.92318,                0.71823,                0.81899,                0.50632,                 1.5977,                 1.2666,                 1.1821,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0475,                 1.0591,                0.98603,                0.77974,                0.81902,                0.81961,                0.50548,                 1.5958,                 1.2601,                 1.1829,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0563,                 1.0904,                0.97923,                0.79653,                0.80313,                0.81621,                0.50474,                 1.5876,                 1.2279,                 1.1785,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.0489,                 1.0413,                0.99704,                 0.8306,                0.79133,                0.82441,                0.50936,                 1.5698,                 1.2038,                 1.1728,                6.2e-05,                6.2e-05,                6.2e-05
