                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9107,                 4.1454,                 1.3577,                0.13999,                0.14343,                0.09234,                0.04531,                 1.8065,                 13.041,                 1.2723,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.6086,                 2.4725,                 1.1126,                0.12593,                0.56869,                0.16673,                0.07995,                 1.6107,                 12.694,                 1.2459,             0.00023358,             0.00023358,             0.00023358
                      3,                 1.4825,                  1.979,                  1.103,                0.43505,                0.44446,                0.42927,                0.20773,                 1.6758,                 7.8733,                 1.3935,             0.00035054,             0.00035054,             0.00035054
                      4,                 1.5787,                 1.7929,                 1.1562,                0.41954,                0.36835,                0.10828,                0.04806,                 1.8742,                 23.991,                  1.312,             0.00046337,             0.00046337,             0.00046337
                      5,                 1.6164,                 1.7557,                 1.1792,                0.15747,                 0.5202,                  0.213,                0.10227,                 2.0318,                 9.6726,                 1.3975,             0.00057208,             0.00057208,             0.00057208
                      6,                 1.5912,                 1.7468,                 1.1325,                0.79788,                0.46768,                0.55327,                0.24408,                 2.1604,                 2.0287,                 1.6888,             0.00067666,             0.00067666,             0.00067666
                      7,                 1.5409,                 1.4365,                 1.1674,                0.65587,                0.52698,                0.61103,                0.29899,                  1.784,                  2.265,                 1.3511,             0.00077711,             0.00077711,             0.00077711
                      8,                 1.6288,                 1.4457,                 1.1555,                0.41404,                0.54545,                0.47308,                0.20789,                 2.3446,                 2.3497,                 1.6156,             0.00087344,             0.00087344,             0.00087344
                      9,                 1.6206,                 1.5126,                  1.149,                0.51836,                0.54242,                0.55354,                0.25956,                 1.8985,                 2.4916,                 1.5617,             0.00096565,             0.00096565,             0.00096565
                     10,                 1.6232,                 1.5539,                 1.1927,                0.43799,                0.62219,                0.54463,                0.26298,                 1.9415,                 2.1006,                  1.662,              0.0010537,              0.0010537,              0.0010537
                     11,                 1.5894,                 1.5217,                 1.1895,                0.46994,                0.61818,                0.56159,                0.27709,                 1.7126,                 2.0199,                 1.5589,              0.0010438,              0.0010438,              0.0010438
                     12,                 1.5228,                  1.331,                 1.1603,                0.82623,                0.43756,                0.56413,                0.22674,                 1.9494,                 2.9109,                 1.6326,              0.0010438,              0.0010438,              0.0010438
                     13,                 1.5223,                 1.3387,                 1.1188,                 0.5082,                0.61701,                0.53802,                0.27062,                 1.7549,                 2.4961,                 1.6198,              0.0010231,              0.0010231,              0.0010231
                     14,                 1.5165,                 1.2801,                 1.1277,                0.63738,                0.63838,                0.59337,                0.32124,                 1.7074,                 1.3302,                 1.4926,              0.0010025,              0.0010025,              0.0010025
                     15,                 1.4844,                 1.1102,                 1.1431,                0.61065,                0.59452,                0.58379,                0.30711,                 1.5979,                 1.2356,                 1.4563,             0.00098187,             0.00098187,             0.00098187
                     16,                 1.4953,                 1.1401,                 1.1161,                 0.7261,                0.67043,                0.73606,                0.32521,                 1.7364,                 1.3882,                 1.4433,             0.00096125,             0.00096125,             0.00096125
                     17,                 1.4211,                 1.0939,                 1.1204,                0.51821,                0.60713,                0.60165,                0.26979,                 1.9106,                 1.6386,                 1.4182,             0.00094062,             0.00094062,             0.00094062
                     18,                 1.4204,                 1.1307,                 1.0992,                0.60793,                0.50272,                0.57882,                0.29685,                 1.8628,                 1.5775,                 1.3585,                0.00092,                0.00092,                0.00092
                     19,                 1.4008,                 1.1235,                 1.0519,                0.85893,                0.60324,                0.75122,                0.34188,                 2.0586,                 1.3147,                 1.4732,             0.00089938,             0.00089938,             0.00089938
                     20,                 1.4044,                 1.0397,                 1.0945,                0.70339,                 0.6165,                0.66019,                0.29624,                 2.1963,                 1.4187,                 1.4579,             0.00087875,             0.00087875,             0.00087875
                     21,                 1.4282,                 1.0743,                 1.0847,                0.77635,                0.72679,                0.77014,                 0.3781,                  1.888,                 1.0657,                    1.4,             0.00085813,             0.00085813,             0.00085813
                     22,                 1.4789,                 1.0197,                 1.1064,                0.76479,                0.58586,                0.71999,                0.37229,                 1.9111,                 1.0999,                 1.3632,              0.0008375,              0.0008375,              0.0008375
