                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2761,                 3.5872,                 1.7953,                0.33869,                0.11059,                0.08338,                0.04061,                 2.1375,                 5.5887,                 1.7797,              0.0001625,              0.0001625,              0.0001625
                      2,                  1.564,                  2.337,                    1.3,                0.35495,                0.32736,                0.12566,                0.06498,                 1.5875,                 13.425,                 1.5564,             0.00033193,             0.00033193,             0.00033193
                      3,                 1.5567,                  2.027,                 1.3329,                0.24611,                0.58617,                0.39016,                0.17259,                 1.9297,                 3.6457,                 1.8152,             0.00049559,             0.00049559,             0.00049559
                      4,                 1.6327,                 1.8296,                 1.3201,                0.63016,                0.26753,                0.28479,                 0.1144,                 1.9523,                 7.3366,                 1.9301,             0.00065347,             0.00065347,             0.00065347
                      5,                 1.5675,                  1.821,                 1.3166,                0.26069,                0.49543,                0.27649,                0.11738,                  1.987,                 11.403,                 1.8485,             0.00080558,             0.00080558,             0.00080558
                      6,                 1.5201,                 1.7721,                 1.3372,                0.58242,                0.34295,                0.43438,                0.18811,                 1.6787,                 3.6112,                 1.8797,             0.00095191,             0.00095191,             0.00095191
                      7,                 1.5453,                  1.621,                 1.2882,                0.35999,                0.48369,                0.41093,                0.18507,                 1.7599,                 3.4133,                 1.7512,              0.0010925,              0.0010925,              0.0010925
                      8,                  1.549,                 1.5928,                 1.2882,                0.33903,                0.47298,                0.42355,                0.19541,                  1.641,                 2.4226,                 1.7535,              0.0011056,              0.0011056,              0.0011056
                      9,                 1.5249,                 1.5615,                 1.3143,                0.32862,                0.40893,                0.32912,                0.17459,                 1.6174,                 31.486,                 1.6552,              0.0011056,              0.0011056,              0.0011056
                     10,                 1.5007,                 1.5524,                 1.2843,                0.38609,                0.50977,                0.44907,                0.22784,                 1.6316,                 5.5112,                 1.7054,               0.001085,               0.001085,               0.001085
                     11,                 1.5179,                 1.4826,                 1.2895,                  0.657,                0.55561,                0.60022,                0.31384,                 1.7395,                 1.7047,                 1.6481,              0.0010644,              0.0010644,              0.0010644
                     12,                 1.4773,                 1.4408,                 1.2999,                0.72416,                0.62692,                0.68091,                0.37423,                 1.4915,                 1.9374,                 1.5493,              0.0010438,              0.0010438,              0.0010438
                     13,                 1.4527,                 1.3911,                 1.2853,                0.80325,                0.68488,                0.73774,                0.38016,                 1.5005,                 1.5345,                 1.5845,              0.0010231,              0.0010231,              0.0010231
                     14,                 1.4676,                 1.3859,                 1.2705,                0.67397,                0.63629,                 0.7194,                 0.3844,                  1.482,                 2.0598,                 1.5567,              0.0010025,              0.0010025,              0.0010025
                     15,                 1.4106,                 1.3659,                   1.24,                0.56958,                0.64024,                0.62305,                0.32749,                 1.5377,                 2.3165,                 1.6378,             0.00098187,             0.00098187,             0.00098187
                     16,                  1.397,                 1.2958,                 1.2502,                0.67909,                 0.7201,                0.75647,                0.43446,                 1.4245,                  1.464,                  1.446,             0.00096125,             0.00096125,             0.00096125
                     17,                 1.3857,                 1.2472,                 1.2478,                0.63566,                0.71484,                0.70723,                0.38054,                 1.5118,                 1.5685,                 1.4446,             0.00094062,             0.00094062,             0.00094062
                     18,                 1.4144,                 1.3024,                  1.239,                0.68928,                0.75837,                0.78806,                 0.4432,                 1.4431,                 1.2503,                 1.4353,                0.00092,                0.00092,                0.00092
                     19,                 1.3305,                 1.1962,                 1.2018,                0.81069,                0.74933,                0.82151,                0.45348,                 1.4353,                 1.1538,                 1.4087,             0.00089938,             0.00089938,             0.00089938
                     20,                 1.3861,                 1.2297,                 1.2368,                0.83416,                0.71105,                0.79955,                0.45343,                 1.4946,                 1.1758,                 1.4662,             0.00087875,             0.00087875,             0.00087875
                     21,                 1.3526,                 1.2033,                 1.2144,                0.76284,                0.66346,                0.75647,                0.43851,                 1.3936,                 1.2615,                 1.4506,             0.00085813,             0.00085813,             0.00085813
                     22,                 1.3611,                 1.1477,                 1.2484,                0.73283,                0.70464,                0.76652,                0.44869,                 1.4022,                 1.2098,                 1.4434,              0.0008375,              0.0008375,              0.0008375
                     23,                 1.3079,                 1.1318,                 1.2078,                0.73489,                0.75246,                0.77085,                0.46198,                 1.4068,                 1.2245,                  1.447,             0.00081688,             0.00081688,             0.00081688
                     24,                 1.2991,                  1.092,                 1.2044,                0.80374,                0.68016,                0.79009,                0.42887,                 1.5746,                 1.2665,                 1.5391,             0.00079625,             0.00079625,             0.00079625
                     25,                 1.3256,                 1.1057,                 1.2197,                0.85208,                0.75776,                 0.8228,                0.48371,                 1.4461,                 1.1016,                 1.4533,             0.00077563,             0.00077563,             0.00077563
                     26,                 1.2469,                 1.0963,                 1.2045,                0.81381,                0.74272,                0.80527,                0.47176,                 1.3872,                  1.136,                 1.4336,               0.000755,               0.000755,               0.000755
                     27,                 1.3146,                 1.1306,                  1.206,                  0.804,                0.73443,                0.79798,                0.43375,                 1.5049,                 1.1757,                 1.4558,             0.00073437,             0.00073437,             0.00073437
                     28,                   1.26,                 1.0894,                 1.1586,                0.79101,                0.77478,                0.84251,                0.49555,                 1.3294,                 1.0923,                 1.3772,             0.00071375,             0.00071375,             0.00071375
                     29,                 1.2112,                0.98924,                 1.1686,                0.70024,                0.73907,                0.77933,                0.46238,                  1.362,                 1.3301,                  1.439,             0.00069313,             0.00069313,             0.00069313
                     30,                 1.2029,                0.97902,                  1.159,                0.83117,                0.76606,                0.83273,                 0.5035,                  1.354,                 1.1298,                 1.4024,              0.0006725,              0.0006725,              0.0006725
                     31,                 1.2279,                0.97502,                  1.172,                 0.8327,                0.83699,                0.84527,                 0.5168,                 1.3635,                 1.0327,                 1.3787,             0.00065188,             0.00065188,             0.00065188
                     32,                 1.2201,                 1.0148,                 1.1517,                0.81661,                0.72559,                 0.8341,                0.48167,                 1.4418,                 1.1053,                 1.4305,             0.00063125,             0.00063125,             0.00063125
                     33,                  1.255,                0.99684,                 1.1761,                0.82469,                0.83171,                0.85004,                0.52096,                 1.3236,                0.94981,                 1.3781,             0.00061062,             0.00061062,             0.00061062
                     34,                 1.2116,                0.98295,                 1.1508,                0.80712,                0.80778,                0.85267,                0.51318,                 1.3033,                 1.0074,                  1.376,                0.00059,                0.00059,                0.00059
                     35,                  1.168,                 0.9469,                 1.1295,                 0.8409,                0.77779,                0.83352,                 0.5173,                 1.2756,                0.98707,                 1.3743,             0.00056938,             0.00056938,             0.00056938
                     36,                 1.1679,                0.95532,                 1.1466,                0.82947,                0.84986,                0.85407,                0.54574,                 1.3157,                0.96051,                  1.386,             0.00054875,             0.00054875,             0.00054875
