                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6359,                  3.163,                 1.4271,                0.21666,                0.30586,                0.19376,                 0.1005,                 1.7584,                 7.3126,                 1.4652,               0.000175,               0.000175,               0.000175
                      2,                 1.4412,                 1.8351,                 1.2671,                0.43816,                0.60089,                 0.5115,                0.24197,                 1.6443,                 3.2107,                 1.3725,             0.00035891,             0.00035891,             0.00035891
                      3,                 1.4511,                 1.6963,                 1.2946,                0.14251,                0.57533,                0.13939,                0.06973,                 1.6799,                 75.486,                 1.5413,             0.00053911,             0.00053911,             0.00053911
                      4,                 1.5192,                  1.503,                 1.3064,                0.36456,                0.43365,                0.43717,                0.23326,                 1.6273,                 2.5519,                 1.5519,              0.0007156,              0.0007156,              0.0007156
                      5,                 1.4636,                  1.572,                 1.3059,                0.46782,                0.34516,                0.40042,                0.20118,                  1.692,                  3.078,                 1.6356,             0.00088837,             0.00088837,             0.00088837
                      6,                 1.4736,                 1.4618,                 1.3007,                 0.3437,                0.47108,                0.33962,                0.16737,                 1.9357,                 8.0004,                 1.7298,              0.0010574,              0.0010574,              0.0010574
                      7,                 1.5014,                  1.367,                 1.3328,                0.68887,                0.43107,                0.43144,                0.21518,                 1.7725,                 2.0709,                 1.7042,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4673,                 1.3833,                 1.3449,                0.61291,                0.42221,                0.45763,                 0.2239,                 1.9704,                 2.1508,                  1.979,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.5058,                 1.3935,                 1.3353,                0.34944,                0.41684,                0.37358,                0.17707,                 1.8718,                 2.7852,                 1.7782,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5199,                 1.3177,                 1.3436,                0.41879,                0.48348,                0.45309,                0.19592,                 1.9448,                 2.4219,                 1.8233,               0.001151,               0.001151,               0.001151
                     11,                 1.5709,                 1.3332,                 1.3675,                0.52354,                0.42224,                0.39075,                0.15852,                 2.0997,                 2.4184,                 1.9256,              0.0011386,              0.0011386,              0.0011386
                     12,                    1.5,                 1.1676,                 1.3252,                0.54424,                0.57278,                0.51706,                0.21841,                 1.9689,                  2.331,                 1.8007,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.5082,                 1.1803,                 1.3043,                0.61029,                0.58176,                0.58466,                0.29416,                  1.846,                 1.6235,                 1.6015,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.4349,                  1.109,                 1.2831,                0.72921,                0.47462,                0.50464,                0.26232,                 1.8799,                 1.9218,                 1.6978,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.479,                 1.1428,                 1.3038,                0.48679,                0.58704,                0.54638,                0.28881,                 1.7397,                 1.8081,                 1.6318,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.4003,                 1.0725,                 1.2582,                0.67986,                0.61174,                0.62716,                0.34434,                 1.6708,                 1.6835,                 1.5157,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.4037,                 1.0602,                 1.2684,                0.73959,                0.56617,                0.58915,                0.32883,                 1.6526,                 1.5312,                  1.575,              0.0010644,              0.0010644,              0.0010644
