                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.524,                 3.1008,                 1.1419,                 0.1959,                0.67616,                0.32363,                 0.2226,                 1.2501,                 6.4309,                 1.1728,              0.0003333,              0.0003333,              0.0003333
                      2,                 1.2423,                 1.5766,                 1.0911,                0.47317,                0.46917,                0.54898,                0.32752,                 1.4828,                 1.6266,                 1.3717,             0.00067324,             0.00067324,             0.00067324
                      3,                 1.2666,                 1.4873,                 1.1033,                0.58952,                0.53947,                0.68194,                0.44078,                 1.2061,                  1.249,                 1.1836,              0.0010086,              0.0010086,              0.0010086
                      4,                 1.1991,                 1.2777,                  1.072,                0.64982,                0.59948,                0.70224,                0.45292,                 1.1887,                 1.2069,                 1.1557,               0.001089,               0.001089,               0.001089
                      5,                 1.2071,                 1.1659,                 1.0647,                0.64039,                0.55687,                0.67914,                   0.43,                 1.1226,                0.91493,                 1.1298,               0.001089,               0.001089,               0.001089
                      6,                 1.1841,                 1.0326,                 1.0495,                0.62152,                0.66191,                0.69298,                0.44271,                 1.2514,                0.92917,                 1.1564,              0.0010817,              0.0010817,              0.0010817
                      7,                 1.1912,                 1.0397,                 1.0597,                0.64126,                0.73608,                0.69181,                0.47107,                 1.0918,                0.80977,                 1.0919,              0.0010743,              0.0010743,              0.0010743
                      8,                 1.1727,                0.98628,                 1.0451,                0.64266,                0.59009,                0.66808,                0.44846,                 1.1141,                0.79593,                 1.1029,               0.001067,               0.001067,               0.001067
                      9,                 1.1232,                0.92458,                 1.0187,                0.64039,                0.68322,                0.72787,                0.48252,                 1.1118,                0.75141,                 1.0982,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.1686,                 0.9322,                 1.0418,                 0.6143,                0.73483,                0.75251,                0.50012,                 1.1086,                0.71735,                 1.0914,              0.0010523,              0.0010523,              0.0010523
