                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88471,                0.71071,                  1.034,                0.56636,                0.65346,                0.63138,                0.41757,                 1.1288,                 1.0968,                 1.2367,             0.00086169,             0.00086169,             0.00086169
                     36,                0.87954,                0.68285,                 1.0282,                0.51377,                0.72204,                0.57749,                0.40095,                 1.1342,                 1.2703,                 1.2795,             0.00085436,             0.00085436,             0.00085436
                     37,                0.89714,                0.68684,                 1.0208,                0.59044,                0.76288,                0.67804,                0.45255,                 1.1077,                0.97671,                 1.2673,             0.00084703,             0.00084703,             0.00084703
                     38,                0.87306,                0.65686,                 1.0051,                0.55657,                0.75219,                0.62452,                0.43201,                 1.0753,                 1.2373,                 1.2313,             0.00083969,             0.00083969,             0.00083969
                     39,                0.86454,                0.64082,                  1.009,                0.63892,                0.70023,                0.60401,                0.42388,                 1.0328,                 1.4625,                 1.1966,             0.00083236,             0.00083236,             0.00083236
                     40,                0.89555,                0.72216,                 1.0148,                0.66926,                0.72597,                0.69342,                0.48972,                  1.075,                  1.012,                 1.1901,             0.00082503,             0.00082503,             0.00082503
                     41,                0.85405,                0.65041,                 1.0181,                0.47864,                0.83794,                0.60142,                0.42019,                 1.1119,                 1.2121,                 1.2706,              0.0008177,              0.0008177,              0.0008177
                     42,                0.85309,                 0.6624,                 1.0193,                0.69052,                0.71855,                0.73873,                0.53544,                  1.072,                0.97623,                 1.2453,             0.00081036,             0.00081036,             0.00081036
                     43,                0.87611,                0.65601,                 1.0365,                 0.5948,                0.80702,                0.65976,                0.46188,                 1.0971,                 1.2425,                  1.236,             0.00080303,             0.00080303,             0.00080303
                     44,                0.84894,                0.65187,                0.99781,                0.58436,                0.66506,                0.64532,                0.44356,                 1.1278,                 1.0326,                 1.2795,              0.0007957,              0.0007957,              0.0007957
                     45,                0.81037,                0.62823,                0.98495,                0.54528,                  0.741,                0.64386,                0.44888,                 1.1314,                 1.2071,                 1.2969,             0.00078837,             0.00078837,             0.00078837
                     46,                0.83821,                0.65378,                 1.0032,                0.57323,                0.80445,                0.64355,                 0.4641,                 1.0407,                 1.0555,                 1.2365,             0.00078103,             0.00078103,             0.00078103
                     47,                  0.793,                0.58304,                0.97838,                 0.5584,                0.80212,                0.67636,                0.46931,                 1.0999,                 1.0114,                 1.2754,              0.0007737,              0.0007737,              0.0007737
                     48,                0.82482,                0.63088,                 1.0072,                 0.6222,                0.73189,                0.65771,                  0.472,                 1.0361,                  1.058,                 1.2272,             0.00076637,             0.00076637,             0.00076637
                     49,                0.82484,                0.62545,                 1.0011,                 0.6466,                0.66439,                0.70426,                0.50302,                 1.0661,                0.94993,                  1.251,             0.00075904,             0.00075904,             0.00075904
                     50,                0.82022,                0.61899,                0.98711,                 0.5277,                0.74042,                0.70521,                0.51244,                 1.0644,                 1.1665,                 1.2327,              0.0007517,              0.0007517,              0.0007517
                     51,                0.81417,                0.62409,                0.98984,                0.55358,                0.78201,                 0.6972,                0.48306,                 1.0959,                 1.0526,                 1.2449,             0.00074437,             0.00074437,             0.00074437
                     52,                0.79914,                0.57681,                0.96649,                0.69337,                0.73272,                0.72333,                0.51484,                 1.0661,                0.94218,                 1.2117,             0.00073704,             0.00073704,             0.00073704
                     53,                0.80349,                0.55997,                0.99106,                0.55401,                0.84702,                0.65665,                0.46729,                  1.074,                 1.2457,                 1.2099,              0.0007297,              0.0007297,              0.0007297
                     54,                 0.7922,                0.56864,                0.98539,                0.57075,                0.80412,                0.70416,                0.49259,                 1.1233,                 1.1207,                 1.2841,             0.00072237,             0.00072237,             0.00072237
                     55,                0.79499,                0.54327,                0.97099,                 0.4699,                 0.7932,                0.62579,                0.43605,                 1.1275,                 1.3484,                  1.282,             0.00071504,             0.00071504,             0.00071504
                     56,                0.76296,                0.53873,                0.97194,                0.59293,                0.86089,                0.69215,                0.48591,                 1.1115,                 1.1509,                 1.2517,             0.00070771,             0.00070771,             0.00070771
                     57,                0.77906,                0.56868,                0.96459,                0.60427,                0.78191,                0.73294,                0.51437,                 1.1222,                 1.0083,                 1.2804,             0.00070037,             0.00070037,             0.00070037
                     58,                0.76585,                0.53957,                0.95777,                0.52235,                0.84321,                0.66641,                0.47432,                 1.1015,                 1.0159,                 1.2737,             0.00069304,             0.00069304,             0.00069304
                     59,                0.74503,                0.52234,                0.96804,                0.57246,                0.75994,                0.63209,                0.44727,                 1.1131,                  1.172,                 1.2687,             0.00068571,             0.00068571,             0.00068571
                     60,                 0.7458,                0.52481,                0.96683,                0.54658,                0.77801,                 0.6887,                0.49729,                 1.1073,                 1.0776,                 1.2865,             0.00067838,             0.00067838,             0.00067838
                     61,                 0.7514,                0.51431,                  0.953,                0.53986,                0.76958,                 0.6002,                0.43462,                 1.0593,                 1.2473,                 1.2371,             0.00067104,             0.00067104,             0.00067104
                     62,                0.75825,                0.50567,                0.95721,                0.55521,                0.83687,                  0.626,                0.44318,                 1.1006,                 1.2258,                 1.2777,             0.00066371,             0.00066371,             0.00066371
                     63,                0.73093,                0.53951,                0.96357,                0.57939,                0.77924,                0.67228,                 0.4826,                 1.0882,                 1.0261,                 1.2608,             0.00065638,             0.00065638,             0.00065638
