                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9107,                 4.1454,                 1.3577,                0.13142,                0.12824,                0.06219,                0.03609,                 1.8065,                 13.041,                 1.2723,              0.0001125,              0.0001125,              0.0001125
                      2,                  1.622,                 2.4723,                 1.1181,                0.11883,                0.55354,                 0.1507,                 0.0761,                 1.6139,                  12.92,                 1.2367,             0.00023515,             0.00023515,             0.00023515
                      3,                 1.4834,                 1.9569,                 1.1044,                0.39471,                 0.5257,                0.46714,                0.23125,                  1.653,                 6.4489,                 1.3396,             0.00035532,             0.00035532,             0.00035532
                      4,                 1.5857,                 1.9324,                 1.1499,                0.35802,                0.41919,                0.03853,                0.01592,                 1.9646,                 96.562,                 1.3463,             0.00047302,             0.00047302,             0.00047302
                      5,                 1.5542,                 1.7962,                 1.1542,                0.60682,                0.44848,                0.21125,                0.09989,                  1.918,                 80.573,                 1.3268,             0.00058824,             0.00058824,             0.00058824
                      6,                 1.6841,                 1.6743,                 1.1488,                0.29904,                0.53333,                0.27036,                0.13647,                 2.3822,                 22.716,                 1.7977,             0.00070099,             0.00070099,             0.00070099
                      7,                 1.5942,                 1.4745,                 1.1559,                0.50687,                0.52727,                0.55767,                0.25714,                  2.021,                  2.742,                 1.5706,             0.00081127,             0.00081127,             0.00081127
                      8,                 1.6309,                 1.4774,                   1.16,                0.38749,                0.42929,                0.42688,                0.20157,                 1.9363,                  2.757,                 1.4722,             0.00091907,             0.00091907,             0.00091907
                      9,                 1.5859,                 1.5206,                 1.1645,                0.85877,                0.44545,                0.54616,                0.23641,                 2.1124,                 1.7324,                 1.5487,              0.0010244,              0.0010244,              0.0010244
                     10,                 1.5954,                 1.5991,                 1.1635,                0.44844,                0.53838,                 0.5441,                0.24326,                 1.9011,                 4.4901,                 1.4242,              0.0011272,              0.0011272,              0.0011272
                     11,                 1.5885,                 1.5372,                    1.2,                0.43799,                0.60842,                0.53388,                0.25543,                 1.7006,                 3.1459,                   1.25,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.5445,                 1.4054,                 1.1392,                0.41717,                0.69192,                 0.6113,                0.29947,                 1.5133,                   2.07,                 1.3201,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.4601,                 1.4765,                 1.1202,                0.62453,                0.65185,                0.63014,                0.26559,                 2.1364,                 1.8912,                 1.5277,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.5656,                 1.2791,                  1.172,                0.53531,                 0.5303,                0.52206,                0.23233,                 2.1769,                 1.4299,                 1.3991,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.4558,                  1.315,                 1.1532,                0.59175,                0.74522,                 0.7046,                0.30614,                 1.7758,                 1.0878,                 1.3191,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.5108,                 1.1993,                 1.1297,                0.85324,                0.69425,                 0.7732,                0.32852,                 2.0697,                 1.0373,                 1.3084,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.4666,                 1.1448,                 1.1113,                0.50643,                0.68768,                0.56639,                0.27613,                 2.0427,                 1.1921,                 1.4037,              0.0010644,              0.0010644,              0.0010644
